芳华‎ (2017), 黄轩 , 苗苗 , 钟楚曦 , 杨采钰 , 李晓峰 , 王天辰 , 王可如 , 隋源
一九四二‎ (2012), 张国立 , 张默 , 徐帆 , 李雪健 , 陈道明 , 艾德里安·布洛迪 , 蒂姆·罗宾斯 , 冯远征
天下无贼‎ (2004), 刘德华 , 刘若英 , 王宝强 , 李冰冰 , 葛优 , 张涵予 , 尤勇 , 徐帆
甲方乙方‎ (1997), 葛优 , 刘蓓 , 何冰 , 英达 , 徐帆 , 杨立新 , 李琦
唐山大地震‎ (2010), 徐帆 , 张静初 , 李晨 , 陈道明 , 张子枫 , 张家骏 , 王子文 , 陈瑾
集结号‎ (2007), 张涵予 , 邓超 , 袁文康 , 汤嬿 , 廖凡 , 王宝强 , 胡军 , 任泉
非诚勿扰‎ (2008), 葛优 , 舒淇 , 范伟 , 徐若瑄 , 方中信 , 胡可 , 巩新亮 , 车晓
大腕‎ (2001), 葛优 , 关之琳 , 英达 , 保罗·马祖斯基 , 唐纳德·萨瑟兰 , 李诚儒 , 张涵予 , 傅彪
夜宴‎ (2006), 章子怡 , 葛优 , 吴彦祖 , 周迅 , 马精武 , 黄晓明 , 周中和 , 曾秋生
只有芸知道‎ (2019), 黄轩 , 杨采钰 , 徐帆 , 莉迪亚·佩克汉 , 赵淑珍 , 张洪杰 , 茹萍
我不是潘金莲‎ (2016), 范冰冰 , 郭涛 , 大鹏 , 张嘉益 , 于和伟 , 张译 , 李宗翰 , 赵立新
私人订制‎ (2013), 葛优 , 白百何 , 李小璐 , 郑恺 , 范伟 , 宋丹丹 , 李诚儒 , 苗圃
手机‎ (2003), 张国立 , 葛优 , 范冰冰 , 徐帆 , 韩童生 , 黄素影 , 杨欣 , 张涵予
非诚勿扰2‎ (2010), 葛优 , 舒淇 , 孙红雷 , 姚晨 , 安以轩 , 邵兵 , 廖凡 , 邬逸聪
不见不散‎ (1998), 葛优 , 徐帆
没完没了‎ (1999), 葛优 , 吴倩莲 , 傅彪 , 徐帆 , 刘蓓 , 刘威 , 韩童生 , 秦焰
一声叹息‎ (2000), 张国立 , 刘蓓 , 徐帆 , 傅彪 , 李诚儒 , 吴旭 , 修宗迪 , 高明
手机2‎ (2020), 葛优 , 范冰冰 , 张国立 , 徐帆 , 范伟
一地鸡毛‎ (1995), 陈道明 , 徐帆 , 修宗迪 , 张瞳 , 周国治 , 徐秀林 , 钟萍 , 葛存壮
永失我爱‎ (1994), 徐帆 , 郭涛 , 剧雪
2014年中央电视台春节联欢晚会‎ (2014), 张国立 , 朱军 , 董卿 , 李思思 , 毕福剑 , 姚晨 , 葛优 , 范伟
北辙南辕‎ (2022), 王珞丹 , 蓝盈莹 , 金晨 , 啜妮 , 隋源 , 韩庚 , 李光洁 , 郑业成
月亮背面‎ (1997), 徐帆 , 冯远征 , 修宗迪 , 叶京 , 梁丹妮 , 马玉良 , 秦焰
跪族‎ (2007), 范伟
情殇‎ (1995), 赵宝刚 , 温海涛 , 徐帆 , 刘小宁
第11届亚洲电影大奖颁奖典礼‎ (2017), 罗泓轸 , 浅野忠信 , 范冰冰 , 林雪 , 文素丽 , 金泰梨 , 阿斯哈·法哈蒂
2015天猫双十一狂欢夜‎ (2015), 张艺兴 , 蒋劲夫 , 范玮琪 , 郑智薰 , 郭采洁 , 蔡依林 , 谭维维 , 赵薇
春天一岁‎ (2021)
第九届中国电影导演协会年度奖 第9届中国电影导演协会年度奖‎ (2018), 游晓颖 , 文晏 , 张艾嘉 , 周子阳 , 涂们 , 周冬雨 , 郑大圣
第24届北京大学生电影节颁奖典礼‎ (2017), 陈可辛 , 张译 , 万茜 , 徐克 , 张涵予 , 程耳 , 林咏琛
第31届大众电影百花奖颁奖典礼‎ (2012), 白百何 , 文章 , 张子枫 , 宁静 , 王为一 , 严寄洲 , 思芜
